what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1409946698276
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1409946698277
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1409946698277
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1409946698278
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1409946698279
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409946698279
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1409946698280
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1409946698280
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1409946698280
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1409946698280
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1409946698281
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1409946698281
os,sysinfo,,,"win32",1409946698283
arch,sysinfo,,,"x86_64",1409946698283
ws,sysinfo,,,"win32",1409946698283
locale,sysinfo,,,"en_US",1409946698283
processors,sysinfo,,,"12",1409946698283
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409946698283
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1409946698283
java.specification.name,sysinfo,,,"Java Platform API Specification",1409946698283
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409946698283
java.specification.version,sysinfo,,,"1.7",1409946698283
java.vendor,sysinfo,,,"Oracle Corporation",1409946698283
java.version,sysinfo,,,"1.7.0_45",1409946698283
java.vm.info,sysinfo,,,"mixed mode",1409946698283
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1409946698283
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409946698283
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409946698283
java.vm.specification.version,sysinfo,,,"1.7",1409946698283
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409946698283
java.vm.version,sysinfo,,,"24.45-b08",1409946698283
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1409946701846
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1409946711160
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1409946711194
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1409946711221
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409946721827
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1409946722027
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1409946722030
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1409946722151
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1409946722152
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1409946722225
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1409946722239
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1409946722253
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1409946722255
